City_ID,City,Country,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
350,Gushikawa,JP,26.35,127.87,85.23,87.8,74,1,13.8,clear sky
351,Hovd,MN,48.01,91.64,56.98,56.98,80,100,3.18,light rain
352,Bilibino,RU,68.05,166.44,45.97,45.97,68,98,3.74,overcast clouds
353,Kapit,MY,2.02,112.93,84.63,84.63,79,77,2.13,broken clouds
354,Xining,CN,36.62,101.77,77.25,77.25,38,7,5.3,clear sky
355,Pahalgam,IN,34.03,75.33,64.33,64.33,46,62,6.2,broken clouds
356,Champerico,GT,14.3,-91.92,77.72,81.36,82,100,2.48,overcast clouds
357,Karachi,PK,24.91,67.08,85.82,85.82,62,75,11.5,smoke
358,Vagur,FO,61.47,-6.81,48.51,48.51,72,46,5.01,scattered clouds
359,Rawson,AR,-43.3,-65.1,56.93,56.93,41,97,15.77,overcast clouds
360,Kyabram,AU,-36.32,145.05,60.87,60.87,62,84,15.79,broken clouds
361,Lata,PT,40.16,-8.33,54.05,59.92,92,4,3.15,clear sky
362,Le Port,RE,-20.94,55.29,66.2,69.76,68,47,3.2,scattered clouds
363,Port Hardy,CA,50.7,-127.42,55.58,55.58,100,90,6.91,light intensity shower rain
364,Mosetse,BW,-20.75,26.65,52.47,52.47,76,0,10.31,clear sky
365,Helena,US,46.59,-112.04,61.54,81.59,32,1,3.0,clear sky
366,Galle,LK,6.04,80.22,81.7,81.7,78,99,13.42,overcast clouds
367,Sinop,TR,41.77,34.87,63.03,63.03,54,0,2.44,clear sky
368,Craig,US,40.52,-107.55,59.18,70.56,42,1,3.44,clear sky
369,Cascais,PT,38.7,-9.42,63.75,65.62,78,0,3.0,clear sky
370,Kongsberg,NO,59.67,9.65,45.66,53.42,86,98,3.83,overcast clouds
371,Makakilo City,US,21.35,-158.09,76.28,80.92,61,1,8.05,clear sky
372,Bialogard,PL,54.01,15.99,63.75,63.75,69,93,7.47,overcast clouds
373,Jhang,PK,33.67,72.7,87.62,87.62,50,17,5.06,few clouds
374,Karasjok,NO,69.47,25.51,42.91,42.91,75,100,6.08,overcast clouds
375,Vila Velha,BR,-20.33,-40.29,67.95,67.95,94,75,2.3,broken clouds
376,Okha,RU,53.57,142.95,74.23,74.23,58,18,6.08,few clouds
