City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
124,Torbay,CA,77.29,few clouds,47.67,-52.73,Gallows Cove
126,Banjarmasin,ID,77.14,overcast clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
127,Alofi,NU,67.89,light rain,-19.06,-169.92,Taloa Heights
130,Tabou,CI,79.61,few clouds,4.42,-7.35,hotêl doufoulougou
133,Ormara,PK,79.7,clear sky,25.21,64.64,Crystal Beach and Camping Resort Ormara
134,Kerema,PG,76.1,overcast clouds,-7.96,145.78,Frena Lodge
135,Kapaa,US,77.32,light rain,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
136,Itarema,BR,81.86,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
139,Diego De Almagro,CL,77.58,clear sky,-26.37,-70.05,hotel luna del desierto
140,Mandalgovi,MN,70.11,broken clouds,45.76,106.27,В.Ганбат
141,Turbat,PK,82.22,clear sky,26.0,63.04,Mubashar Quarters
142,Menongue,AO,71.83,clear sky,-14.66,17.69,Ritz Lauca
144,Marica,BR,82.56,clear sky,-22.92,-42.82,Marica Hills
145,Dunkirk,FR,61.02,overcast clouds,51.05,2.37,All Suites Appart Hôtel Dunkerque
147,Iquitos,PE,86.04,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
148,Axim,GH,79.09,overcast clouds,4.87,-2.24,Axim Beach Resort And Spa
150,Catamarca,AR,85.59,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
152,Sao Filipe,CV,79.65,broken clouds,14.9,-24.5,Hotel Xaguate
154,Canmore,CA,71.71,overcast clouds,51.08,-115.35,Blackstone Mountain Lodge by CLIQUE
156,Karchaghbyur,AM,60.62,scattered clouds,40.17,45.58,Paros Hotel & Restaurant
157,Port-Gentil,GA,82.36,broken clouds,-0.72,8.78,Fengshui Residence
160,San Juan,AR,74.59,clear sky,-31.54,-68.54,Hotel Provincial
161,Vila Franca Do Campo,PT,77.41,few clouds,37.72,-25.43,Pestana Bahia Praia
163,Muskegon,US,78.94,few clouds,43.3,-86.13,Timberline Estates
164,Damietta,EG,84.09,clear sky,31.42,31.81,العواد لتجارة الابلكاش
165,Binga,ZW,67.62,clear sky,-17.62,27.34,Lakeview Inn Binga
166,Rafaela,AR,77.05,broken clouds,-31.25,-61.49,Parra Hotel & Suites
167,Antofagasta,CL,66.22,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
168,Kirakira,SB,76.73,overcast clouds,-10.45,161.92,SanBiz Lodge
169,Acari,PE,69.96,overcast clouds,-15.43,-74.62,Hospedaje Ximens
171,Orange,US,89.67,clear sky,33.7,-117.77,Meadows
172,Karaton,ID,78.96,broken clouds,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
173,Caravelas,BR,78.22,broken clouds,-17.71,-39.25,Pousada dos Navegantes
174,Avallon,FR,65.46,broken clouds,47.48,3.9,Hotel d'Avallon Vauban
175,Thanatpin,MM,77.18,overcast clouds,17.21,96.3,Lo Ta Ya Garden
178,Hami,CN,71.26,overcast clouds,42.8,93.45,Laoyutang Resort
179,Santa Marta De Tormes,ES,87.82,clear sky,40.95,-5.63,Hotel Alameda Palace
180,Kendari,ID,74.79,moderate rain,-3.94,122.5,Hotel Wixel
181,Salinas,US,69.96,mist,36.68,-121.66,Laurel Inn & Conference Center
182,Carutapera,BR,85.42,few clouds,-1.2,-46.02,Lidera
183,Trairi,BR,84.45,broken clouds,-3.28,-39.27,janelas do mar
187,Rolla,US,82.15,few clouds,37.95,-91.77,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
189,Kalemie,CD,75.04,scattered clouds,-5.95,29.19,Mahobilali
190,Tatarskaya Pishlya,RU,65.17,overcast clouds,54.06,44.9,"Luksor, Kvartirnoye Byuro"
191,Portland,US,73.06,few clouds,45.52,-122.68,The Bidwell Marriott Portland
192,Medvedovskaya,RU,80.17,overcast clouds,45.45,39.03,Gostinnitsa
193,Hirara,JP,82.94,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
194,Solnechnyy,RU,60.15,overcast clouds,50.72,136.63,Hotel complex Pastoral
197,Pierre,US,86.92,clear sky,44.37,-100.35,Ramkota Hotel
200,Proletariy,RU,62.6,overcast clouds,58.43,31.7,Tri Kita Mihi-Hotel Bronnitsa
201,Oktyabrskiy,RU,75.38,overcast clouds,54.48,53.47,Уязы-Тау гостиница
204,Erenhot,CN,74.17,overcast clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
207,Tres Arroyos,AR,60.96,overcast clouds,-38.37,-60.28,Habitacion Triple con baño y entrada privada
211,San Luis,AR,74.77,scattered clouds,-33.3,-66.34,Huarpes Hotel
212,Nikolskoye,RU,67.89,overcast clouds,59.7,30.79,Tourist House - Sablino
213,Sabang,ID,81.77,overcast clouds,5.89,95.32,Hotel Citra
215,Ambilobe,MG,72.03,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
217,Saint-Raphael,HT,81.77,broken clouds,19.43,-72.2,Adouly Hôtel
218,Cidreira,BR,63.91,clear sky,-30.18,-50.21,Hotel Castelo
223,Pisco,PE,63.01,haze,-13.7,-76.22,Hotel San Isidro Oficial
224,Payo,ID,72.46,broken clouds,-3.75,103.64,Mess keban agung
225,Puerto Baquerizo Moreno,EC,72.59,light intensity drizzle,-0.9,-89.6,Hotel los Algarrobos
226,Muros,ES,80.17,clear sky,42.78,-9.06,Apartment Av. Castelao
227,Nouadhibou,MR,76.98,clear sky,20.93,-17.03,El Medina
232,Yongan,CN,65.97,broken clouds,39.7,113.69,Beiyue International Hotel
233,Rio Grande,BR,62.71,scattered clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
234,Mahebourg,MU,70.09,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
235,Sainte-Marie,RE,68.16,few clouds,-20.9,55.55,Les pailles en queue de Sainte Marie
236,Bambanglipuro,ID,75.6,few clouds,-7.95,110.28,Puri Brata
237,Faya,SA,81.12,overcast clouds,18.39,42.45,أبو تركي للوحدات السكنيه
239,Shihezi,CN,70.66,light rain,44.3,86.03,Home Inn Shihezi Dongwu Road Century Square
244,Havre,FR,66.49,few clouds,49.58,0.33,gite bois jourdain
246,Palauig,PH,80.44,overcast clouds,15.44,119.9,Alperi Botique Resort
247,Zamora,EC,81.64,light rain,-4.07,-78.96,Cabañas Ecológicas Copalinga
248,Sao Joao Da Barra,BR,77.09,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
249,Akdagmadeni,TR,61.84,clear sky,39.66,35.88,Hanedan Otel
250,Ray,IN,77.77,overcast clouds,23.68,85.05,Bablu Cake Corner
251,Elblag,PL,79.93,overcast clouds,54.15,19.41,HOTEL RESTAURACJA ŻUŁAWY ELBLĄG
252,Lewistown,US,77.9,overcast clouds,40.6,-77.57,Quality Inn & Suites
253,Inongo,CD,77.72,overcast clouds,-1.95,18.27,Hotel Du Lac
254,Quelimane,MZ,71.55,few clouds,-17.88,36.89,Hotel Flamingo
257,Mareeba,AU,63.45,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
258,Sept-Iles,CA,69.26,broken clouds,50.2,-66.38,Comfort Inn
259,Oranjestad,AW,87.75,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
260,Aksha,RU,61.0,overcast clouds,50.28,113.29,Vizit
261,Ambon,ID,78.62,light rain,-3.7,128.18,Swiss-Belhotel Ambon
262,Kloulklubed,PW,75.7,scattered clouds,7.04,134.26,Storyboard Beach Resort
263,Acheng,CN,64.33,overcast clouds,45.55,126.98,Home Inn Hotel
264,Korla,CN,73.06,broken clouds,41.76,86.15,Gulisitan Hotel
265,Shubarkuduk,KZ,79.63,clear sky,49.14,56.49,Sirius
266,Belmonte,BR,77.5,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
269,La Asuncion,VE,85.73,clear sky,11.03,-63.86,Colinas de Matasiete
271,Santa Rosa,PH,84.18,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
273,Namibe,AO,68.16,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
275,Ohafia,NG,74.19,moderate rain,5.62,7.83,Ikenga Plaza Hotel
276,Dapaong,TG,81.19,overcast clouds,10.86,0.2,Hotel Caroli
278,Wageningen,NL,64.04,broken clouds,51.97,5.67,Fletcher Hotel-Restaurant De Wageningsche Berg
279,Limay,PH,80.42,overcast clouds,14.53,120.55,Man's Forest Inland Resort a.k.a Manansala Resort
280,Auki,SB,74.89,broken clouds,-8.77,160.7,Auki Motel
281,Naze,JP,77.9,overcast clouds,28.37,129.48,オーベルジュ・アガルイ
282,Viedma,AR,70.61,broken clouds,-40.81,-63.0,Hotel Cristal
283,Bathsheba,BB,88.41,scattered clouds,13.22,-59.52,Atlantis Hotel
284,Oyotun,PE,71.19,few clouds,-6.85,-79.3,Daysi chavez
285,Abancay,PE,67.24,overcast clouds,-13.63,-72.88,Siball Hotel
286,Alwaye,IN,76.95,moderate rain,10.12,76.35,Hotel Airlink Castle
287,Hamilton,US,75.97,mist,39.18,-84.53,Six Acres Bed & Breakfast
288,Tupaciguara,BR,85.12,clear sky,-18.59,-48.7,Hotel Tupaciguara
289,Balabac,PH,82.2,scattered clouds,7.99,117.06,Sing and Swing Lodge
290,Cururupu,BR,85.98,few clouds,-1.83,-44.87,POUSADA TRAVÉS'CIA
291,Cap Malheureux,MU,70.29,few clouds,-19.98,57.61,Pereybere Hotel & Spa
293,Dobsina,SK,80.85,broken clouds,48.82,20.37,Hotel Raj
294,Romny,UA,77.94,broken clouds,50.75,33.47,Floriana
296,Mengcheng,CN,71.82,light rain,33.26,116.57,Jinliang Hotel
297,Buala,SB,76.91,light rain,-8.14,159.59,Maringe Lagoon Lodge
298,Socorro,US,74.55,overcast clouds,31.65,-106.3,guarderia imss papalote
299,Mexico,PH,84.22,broken clouds,15.06,120.72,stone place
302,Vila Velha,BR,75.15,broken clouds,-20.33,-40.29,Quality Suites Vila Velha
303,Bima,ID,73.67,scattered clouds,-8.47,118.72,Lambitu Hotel
305,Robertsport,LR,79.2,broken clouds,6.75,-11.37,Kwepunha Retreat
306,Den Helder,NL,63.99,broken clouds,52.96,4.76,Hotel Den Helder
312,Lethem,GY,86.07,scattered clouds,3.38,-59.8,Savannah Inn
314,Aracuai,BR,89.55,few clouds,-16.85,-42.07,Village das Minas Hotel
315,Winsum,NL,63.0,scattered clouds,53.33,6.52,Tuinhuis
316,Khandyga,RU,60.93,moderate rain,62.67,135.6,Apel'sin
317,Lagoa,PT,73.58,scattered clouds,39.05,-27.98,Casa Das Faias
318,Poum,NC,71.4,broken clouds,-20.23,164.02,Gîte kajeon
321,Swedru,GH,80.51,overcast clouds,5.54,-0.7,Emma-Ike Guesthouse
322,Anloga,GH,82.62,broken clouds,5.79,0.9,Pin Drop Hotel
323,Brookhaven,US,86.95,few clouds,31.58,-90.44,Americas Best Value Inn Brookhaven
324,Marystown,CA,70.75,clear sky,47.17,-55.15,Marystown Hotel & Convention Centre
325,Garowe,SO,85.98,few clouds,8.41,48.48,Curubo Hotel
326,Punta De Bombon,PE,61.7,overcast clouds,-17.17,-71.79,Hotel Bedregal
327,San Policarpo,PH,81.57,overcast clouds,12.18,125.51,Manong Aklan Resort
328,Saint Anthony,US,82.9,clear sky,45.02,-93.22,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
329,Maldonado,UY,63.23,scattered clouds,-34.67,-54.92,La Cimarrona
330,Fort Lee,US,82.56,broken clouds,40.85,-73.97,Best Western Fort Lee
331,Xuanzhou,CN,73.29,light rain,30.95,118.76,Nanfang Hotel
332,Sain Alto,MX,73.42,few clouds,23.58,-103.25,Hotel Barraza
333,Griffith,US,80.29,clear sky,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
334,Sibolga,ID,76.05,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
335,Hotaka,JP,68.13,overcast clouds,36.34,137.88,にし屋別荘
337,Palmer,US,80.26,broken clouds,42.16,-72.33,Wedgewood Motel
338,Flagstaff,US,72.3,few clouds,35.2,-111.65,Drury Inn & Suites Flagstaff
339,Bac Lieu,VN,81.36,few clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
340,Phan Thiet,VN,78.31,overcast clouds,10.93,108.1,Hotel Saigon-PT
342,Kruisfontein,ZA,70.88,scattered clouds,-34.0,24.73,Oyster Bay House Rental
344,Jambi,ID,74.64,overcast clouds,-1.6,103.62,ASTON Jambi Hotel & Conference Center
345,Sinnamary,GF,81.28,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
346,Price,US,80.11,clear sky,39.6,-110.81,National 9 - Price River Inn
347,Terney,RU,62.82,scattered clouds,45.05,136.61,"Hotel ""Ternay"""
348,Kalabo,ZM,72.54,clear sky,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
349,Vao,NC,67.15,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
350,Saint-Joseph,RE,66.58,scattered clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
351,Yar-Sale,RU,61.65,overcast clouds,66.83,70.83,Yalemd
355,Karratha,AU,75.31,clear sky,-20.74,116.85,ibis Styles Karratha
357,Ulaanbaatar,MN,69.93,scattered clouds,47.91,106.88,The Blue Sky Hotel and Tower
358,Moyale,KE,75.22,overcast clouds,3.52,39.06,WOCHES PALACE
360,Labuhan,ID,77.23,broken clouds,-6.88,112.21,Rumah Naqsa
361,Camacha,PT,84.96,clear sky,33.08,-16.33,Hotel Porto Santo & Spa
363,Machico,PT,88.43,clear sky,32.7,-16.77,Dom Pedro Madeira Hotel
367,Isangel,VU,69.42,few clouds,-19.55,169.27,Tanna Lodge
370,Jiuquan,CN,71.78,clear sky,39.74,98.52,Jiuquan Hotel
371,Frontera,MX,84.94,few clouds,26.93,-101.45,Comfort Inn Monclova
373,Cockburn Town,TC,87.76,scattered clouds,21.46,-71.14,Osprey Beach Hotel
374,Eureka,US,60.64,broken clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
375,Kualakapuas,ID,77.16,overcast clouds,-3.01,114.39,Guest House Izonk
376,Klyuchi,RU,66.81,overcast clouds,52.27,79.17,Gostinitsa Luch
377,Puerto Madryn,AR,67.77,overcast clouds,-42.77,-65.04,Hotel Tolosa
378,Kokopo,PG,76.95,overcast clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
379,Englehart,CA,78.82,clear sky,47.82,-79.87,"The Englehart Motel & Restaurant- Best Hotel & Motel in Englehart ,Ontario,Canada"
380,Katobu,ID,74.89,broken clouds,-4.94,122.53,La Ode Husein
